DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000359,Portadown_A3,555,6.1,84.5,9.4,12.1,modelled
N20000360,Portadown_B2,403,46.9,48.9,4.2,44.5,modelled
N20000361,Portadown_A4,669,65.0,28.8,6.1,60.6,modelled
N20000362,Portadown_A5,648,20.7,74.2,5.1,22.7,modelled
N20000363,Portadown_B3,490,23.7,68.4,8.0,26.4,modelled
N20000364,Portadown_B4,561,34.2,61.7,4.1,33.8,modelled
N20000365,Portadown_B5,539,21.2,72.7,6.1,23.5,modelled
N20000366,Portadown_B6,467,23.3,74.7,1.9,23.7,modelled
N20000367,Portadown_J1,597,43.4,53.3,3.4,41.2,modelled
N20000368,Portadown_R1,668,15.6,57.9,26.5,26.9,modelled
N20000369,Portadown_J2,655,29.6,66.1,4.3,29.9,modelled
N20000370,Portadown_C1,416,89.7,6.5,3.8,80.6,modelled
N20000371,Portadown_D1,609,89.8,4.4,5.7,81.5,modelled
N20000372,Portadown_C2,651,88.2,5.4,6.5,80.3,modelled
N20000373,Portadown_D2,581,91.7,2.6,5.7,83.1,modelled
N20000374,Portadown_C3,367,88.0,6.3,5.7,79.9,modelled
N20000375,Portadown_D3,326,86.5,5.5,8.0,79.5,modelled
