SA2011,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
N00000071,32.54786537040066,39.404850852320244,36.78494710899867,319.9999553061387,6.856985481919587,2.619903743321572,4.237081738598015,Antrim_G3,ANTRIM
N00000072,20.27230558538163,21.981696661961603,20.609862524785914,732.9999618111515,1.7093910765799727,1.3718341371756892,0.33755693940428344,Antrim_L4,ANTRIM
N00000073,31.398571658512232,44.04674024965138,40.85632254723883,489.9999107137664,12.648168591139147,3.190417702412546,9.4577508887266,Antrim_G3,ANTRIM
N00000074,24.51572595467166,22.83167225280252,23.768488113300915,375.9999783065111,-1.6840537018691393,-0.9368158604983954,-0.7472378413707439,Dunsilly_F1,DUNSILLY
N00000075,22.08124176589218,25.641908924766923,27.615725487615,289.99995666261,3.560667158874743,-1.973816562848075,5.534483721722818,Antrim_C2,ANTRIM
N00000076,16.779321637171016,28.948313341849076,25.56334157521663,298.99992579603094,12.16899170467806,3.3849717666324466,8.784019938045613,Antrim_C3,ANTRIM
N00000077,26.92618266870587,44.043544080497455,42.28330669551495,294.99993445958523,17.117361411791585,1.7602373849825028,15.357124026809082,Antrim_G1,ANTRIM
N00000078,18.410186715655914,33.08400040581808,30.610638207450897,321.99990024500806,14.673813690162167,2.473362198367184,12.200451491794983,Antrim_A1,ANTRIM
N00000079,4.278821043330216,6.624325163288398,3.651364599811222,388.9999902347491,2.345504119958182,2.9729605634771756,-0.6274564435189935,Dunsilly_B3,DUNSILLY
N00000080,4.3752708077116536,6.627983978590713,3.897739792383174,387.9999807099058,2.2527131708790593,2.730244186207539,-0.47753101532847975,Dunsilly_B4,DUNSILLY
N00000081,11.45321038948486,6.996521169571526,4.510010771279857,333.99997383874324,-4.4566892199133346,2.486510398291669,-6.9431996182050035,Dunsilly_B4,DUNSILLY
N00000082,5.399247325517354,9.108612163384585,5.564910442171733,378.9999904404643,3.7093648378672306,3.5437017212128517,0.16566311665437894,Dunsilly_B5,DUNSILLY
N00000083,4.960569957378889,6.476984606380587,4.829457505808056,392.99999116570507,1.5164146490016988,1.647527100572531,-0.13111245157083218,Dunsilly_A1,DUNSILLY
N00000084,3.6443258617555507,6.375029025476067,3.189957192946232,367.99998752353616,2.7307031637205164,3.185071832529835,-0.4543686688093187,Dunsilly_B2,DUNSILLY
N00000085,60.91624501971559,61.06381910248932,54.67103831997113,316.9999574865942,0.14757408277372974,6.392780782518187,-6.2452066997444575,Dunsilly_F5,DUNSILLY
N00000086,81.61653247008303,76.28780615541292,73.78610670071103,439.99994487815417,-5.3287263146701065,2.5016994547018925,-7.830425769371999,Dunsilly_F5,DUNSILLY
N00000087,59.117009333943145,53.063796984405215,53.00091392611742,789.9999842957982,-6.0532123495379295,0.06288305828779528,-6.116095407825725,Dunsilly_F5,DUNSILLY
N00000088,19.02384921283788,53.41118284823824,50.82219188487599,229.9999609054773,34.38733363540036,2.5889909633622494,31.79834267203811,Dunsilly_E1,DUNSILLY
N00000089,83.30941729489642,81.46539243628456,78.52821163541621,406.9999612858445,-1.84402485861186,2.9371808008683473,-4.781205659480207,Dunsilly_F5,DUNSILLY
N00000090,86.39944783746556,86.37239680431688,82.60046463565818,409.99988342984847,-0.027051033148680403,3.7719321686586937,-3.798983201807374,Dunsilly_E2,DUNSILLY
N00000091,70.32624449121715,73.51541369511556,69.8531263785624,338.9999678315739,3.189169203898402,3.6622873165531615,-0.47311811265475967,Dunsilly_A5,DUNSILLY
N00000092,4.942130518831464,11.811502001196997,12.114362511025323,372.99998714277564,6.869371482365533,-0.30286050982832613,7.1722319921938595,Dunsilly_A1,DUNSILLY
N00000093,35.00044654198139,39.65543402622296,37.40865000039024,438.99997781492556,4.654987484241573,2.2467840258327243,2.408203458408849,Dunsilly_F1,DUNSILLY
N00000094,47.671013678360666,31.785086254057966,32.25485933021588,453.99997922016075,-15.8859274243027,-0.46977307615791375,-15.416154348144786,Dunsilly_A3,DUNSILLY
N00000095,61.983874370627674,38.83868642982683,38.436812203700605,394.9999911640508,-23.145187940800845,0.4018742261262247,-23.54706216692707,Dunsilly_A3,DUNSILLY
N00000096,8.613912379278279,21.31898412757018,19.73977347986161,432.9999884183714,12.7050717482919,1.5792106477085674,11.125861100583332,Dunsilly_F1,DUNSILLY
N00000097,23.700701232432415,22.997606140092437,22.91974214063586,402.99990219783126,-0.7030950923399786,0.07786399945657507,-0.7809590917965537,Antrim_C1,ANTRIM
