DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000404,Portadown_N1,17.7,29.9,modelled
N20000405,Portadown_N2,29.0,36.6,modelled
N20000407,Portadown_N3,14.5,28.1,modelled
N20000408,Portadown_J4,20.5,31.8,modelled
N20000409,Portadown_P2,5.7,20.7,modelled
N20000410,Portadown_P3,16.4,30.0,modelled
N20000411,Portadown_L4,37.1,46.3,modelled
N20000412,Portadown_P4,20.0,31.3,modelled
N20000413,Portadown_Q1,23.6,35.4,modelled
N20000414,Portadown_Q2,19.0,30.1,modelled
N20000415,Portadown_Q3,19.2,31.9,modelled
N20000416,Portadown_R3,33.3,38.9,modelled
N20000417,Portadown_Q4,8.5,24.0,modelled
N20000418,Portadown_J5,38.1,41.9,modelled
N20000419,Portadown_R4,23.4,32.0,modelled
N20000420,Portadown_R5,18.0,27.5,modelled
N20000422,Craigavon_A2,77.6,68.6,modelled
N20000423,Craigavon_A3,93.0,79.4,modelled
N20000424,Craigavon_A4,82.4,72.5,modelled
N20000425,Craigavon_B1,78.7,71.9,modelled
N20000426,Craigavon_B2,95.8,81.5,modelled
N20000427,Craigavon_B3,92.9,79.5,modelled
N20000428,Craigavon_B4,91.7,78.5,modelled
N20000429,Craigavon_B5,91.5,78.3,modelled
N20000430,Craigavon_C1,22.6,32.4,modelled
N20000431,Craigavon_E1,90.7,78.5,modelled
N20000432,Craigavon_E2,92.4,79.6,modelled
N20000433,Craigavon_C2,61.5,62.1,modelled
N20000434,Craigavon_D1,54.8,55.4,modelled
N20000435,Craigavon_D2,75.7,70.3,modelled
N20000436,Craigavon_F1,60.3,59.9,modelled
N20000437,Craigavon_D3,55.6,57.5,modelled
N20000438,Craigavon_F2,51.7,55.1,modelled
N20000439,Craigavon_E3,91.5,78.7,modelled
N20000440,Craigavon_C3,20.5,34.5,modelled
N20000441,Craigavon_C4,70.2,65.4,modelled
N20000442,Craigavon_E4,76.5,70.7,modelled
N20000443,Craigavon_F3,37.1,44.2,modelled
N20000444,Craigavon_F4,53.6,57.5,modelled
N20000445,Craigavon_E5,65.9,63.1,modelled
N20000446,Craigavon_J1,33.6,41.6,modelled
N20000447,Craigavon_F5,42.8,49.6,modelled
N20000448,Craigavon_G1,84.5,75.0,modelled
N20000449,Craigavon_G2,79.4,72.7,modelled
N20000450,Craigavon_H1,8.6,24.3,modelled
N20000451,Craigavon_J2,26.1,35.5,modelled
N20000452,Craigavon_G3,82.6,75.4,modelled
N20000453,Craigavon_G4,81.3,73.0,modelled
N20000454,Craigavon_G5,80.1,72.0,modelled
N20000455,Craigavon_F6,22.8,34.5,modelled
N20000456,Craigavon_H2,14.2,27.8,modelled
N20000457,Craigavon_J3,14.0,28.4,modelled
N20000458,Craigavon_L1,41.4,45.2,modelled
N20000459,Craigavon_H3,18.4,30.4,modelled
N20000460,Craigavon_H4,18.8,32.2,modelled
N20000461,Craigavon_J4,16.7,31.0,modelled
N20000462,Craigavon_N1,8.8,23.5,modelled
N20000463,Craigavon_K1,7.3,21.5,modelled
N20000464,Craigavon_N2,14.0,27.5,modelled
N20000465,Craigavon_L2,47.2,48.5,modelled
N20000466,Craigavon_K2,8.2,24.4,modelled
N20000467,Craigavon_L3,47.2,49.2,modelled
N20000468,Craigavon_K3,17.2,30.7,modelled
N20000469,Craigavon_P1,10.4,24.0,modelled
N20000470,Craigavon_N3,8.7,24.0,modelled
N20000472,Craigavon_N5,12.8,27.0,modelled
N20000473,Craigavon_L4,30.7,38.9,modelled
N20000474,Craigavon_P2,15.6,27.3,modelled
N20000475,Craigavon_P3,9.4,23.4,modelled
N20000476,Lurgan_A1,79.7,71.1,modelled
N20000477,Lurgan_B1,89.4,77.6,modelled
N20000478,Lurgan_A2,80.6,71.1,modelled
N20000481,Lurgan_B2,91.9,78.4,modelled
N20000482,Lurgan_A5,59.9,57.0,modelled
N20000483,Lurgan_C1,93.8,79.8,modelled
N20000484,Lurgan_C2,93.0,79.3,modelled
N20000488,Lurgan_B3,54.8,54.1,modelled
N20000489,Lurgan_D3,96.6,81.3,modelled
N20000490,Lurgan_E1,94.9,81.0,modelled
N20000492,Lurgan_E3,96.6,82.0,modelled
N20000493,Lurgan_C4,95.0,80.3,modelled
N20000494,Lurgan_E4,95.6,80.7,modelled
N20000495,Lurgan_D4,94.9,81.4,modelled
N20000496,Lurgan_F1,87.5,76.8,modelled
N20000498,Lurgan_E5,68.3,65.2,modelled
N20000500,Lurgan_F3,82.0,73.6,modelled
N20000501,Lurgan_H1,24.0,34.2,modelled
N20000502,Lurgan_H2,31.6,38.6,modelled
N20000503,Lurgan_G1,94.4,80.1,modelled
N20000504,Lurgan_F4,76.8,70.9,modelled
N20000505,Lurgan_G2,86.9,76.8,modelled
N20000506,Lurgan_G3,78.6,72.3,modelled
N20000507,Lurgan_H3,29.8,37.8,modelled
N20000508,Lurgan_F5,85.0,75.2,modelled
N20000509,Lurgan_G4,82.1,72.9,modelled
N20000510,Lurgan_J1,12.3,27.5,modelled
N20000512,Lurgan_K1,73.1,69.0,modelled
N20000513,Lurgan_H4,36.5,41.5,modelled
