DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000791,504.0,31.012693525240724,11.362693602624095,12.692841763232424,28.486862857858654,6.4996150054313455,1.2783144470050525e-11,2.866662223850071e-10,3.6888198278191847e-10,3.998137726731942e-10,0.07661150824304523,9.868681736301575
N20000792,438.0,10.7351715322207,54.8311259002683,2.7544378912163716,21.67611649634415,1.539813613811446,7.606702755500368e-11,1.369546952008777e-10,4.0511501894102196e-10,4.6460735679876077e-10,0.4016380046135782,8.061696560442703
N20000793,525.0,16.068019730643737,58.21985856406706,9.228472437150367,9.53383211116475,4.106060464648444,4.27203949209378e-11,7.272006198952229e-11,5.967281262850721e-10,4.1093140075480353e-10,0.07238456188041587,2.7713721293221214
N20000794,570.0,2.409927606836882,51.21558306158964,2.088763903531294,36.25514848332742,4.1476646560430135,1.4173155838391939e-11,1.1585458750534458e-10,3.931802141588593e-10,4.098521365676726e-10,0.36247436636091945,3.520437921377758
N20000795,649.0,49.88582986901397,8.961891128462874,8.199435053277499,14.704758234098339,6.968953568767219,6.482714995391925e-10,2.2109114664658817e-10,6.566236076723104e-10,5.311784977523304e-10,1.7085753666710275,9.570556777651912
N20000796,713.0,30.40796115905148,18.16338598341351,26.918867694895592,8.369622311929373,13.289250390725307,2.3914680037489982e-11,2.2992053625016435e-10,6.340550848675286e-10,5.795204803548913e-10,0.009903815982432469,2.84100864253489
N20000797,531.0,52.4947191753343,13.691206918648232,17.18487912647204,7.0819770229139865,5.3894543517493085,4.409955225291639e-11,2.968674634534883e-10,4.2520197849769584e-10,3.627619704698779e-10,0.025137135805076517,4.132626267948123
N20000798,499.0,68.41561768573487,2.818438442963833,8.63462968491286,0.3502499517252579,9.343224324284385,5.553885441738209e-10,1.2541755661873583e-10,2.7082629462495173e-10,2.666788076059454e-10,0.019577980069725134,10.418261929090733
N20000799,562.0,26.758268036860706,12.506519278104026,22.402740027844676,12.146435329054823,22.67124635949838,5.4556688455469425e-11,2.815627368984438e-10,9.164526768690779e-10,7.993429544733595e-10,0.09545826764676782,3.419332698938715
N20000800,596.0,49.66644121181641,3.141852153799011,11.987093932264289,1.1907264948215421,14.91105448624887,3.887028491659767e-10,6.203064939628826e-11,3.5637866926765563e-10,3.580298214694208e-10,0.07551983874644881,19.02731188113828
N20000801,500.0,29.712356153237973,1.335623827390545,13.793855490859725,5.53253815510978,2.894534966857247,9.884016206887527e-11,5.082763442210169e-11,5.306533658188094e-10,3.758960060986281e-10,0.3859220785668288,46.345169326921685
N20000802,526.0,31.95172570309264,10.587350744977133,33.33117401480926,12.421714011421283,6.953092785917087,2.77810741692862e-11,4.954788043023794e-10,7.639830111560622e-10,7.389389128687329e-10,0.054572240423508125,4.700370497332916
N20000803,544.0,19.45245613222776,30.770131730000827,14.768710712811862,20.420991660153405,12.233825048122714,6.847755255898993e-12,1.9340163542932886e-10,5.714358934133084e-10,4.957217419651601e-10,0.04012532079515765,2.313759394620875
N20000804,344.0,3.5191792727895326,13.727064873594905,5.592679241366713,6.581914752711694,59.8318716428148,1.941051945566032e-11,9.586611945343578e-10,1.8132861226316473e-09,8.01838105378115e-10,9.230827630918338,1.516462582210836
N20000805,571.0,59.707089476143814,1.8114909465912141,10.60344798442645,0.4224693471464129,10.689482409243473,9.845066131023148e-11,2.01010522318219e-10,2.578412052176577e-10,2.577764872316282e-10,0.0049334113504975975,16.761086424283082
N20000806,478.0,48.03424943307252,7.240099047519885,12.746492966835365,0.3659626691028124,13.426892593444354,4.159118570107848e-11,7.551678698466209e-12,2.7465292941239597e-10,2.010299721918255e-10,0.005439458801561127,18.18086383069868
N20000807,604.0,17.37342464730051,28.226475394513173,16.015931293228196,8.310051110046297,22.870733025970754,5.6957037107543714e-11,1.7362855052517405e-10,8.868603644020411e-10,6.748037628678974e-10,0.08665999062822351,7.1167245365205964
N20000808,521.0,9.564268885983642,33.623743956026125,23.809198273340776,27.142091969494164,5.013286428245619,5.4141197861218196e-12,8.661412168091234e-11,4.945424874664901e-10,4.0282040096682197e-10,0.09067216584728767,0.7567383200729877
N20000809,559.0,59.63304865285354,6.547716955754088,20.14886797282924,1.3317093249148795,7.903986292149592,4.015073126609696e-11,6.799504907730957e-11,1.8909367291915223e-10,2.40953431090559e-10,0.004640052339751833,4.430030748620702
N20000810,428.0,31.926476469468877,7.308248795084342,14.90916735367265,1.805837402074359,40.945525437406296,3.827574970369233e-11,8.050170823088209e-10,5.375267404535173e-10,4.910201400634754e-10,0.022094306164783337,3.0826502342568673
N20000811,644.0,70.51805865169966,3.5669346932197183,12.542635711670993,0.6402663854091124,5.49804695866152,3.9717503803851044e-10,3.737723415403829e-11,2.1158882080378e-10,2.490689546475952e-10,0.03790607979315583,7.196151518650609
N20000812,318.0,8.164773415210028,21.396547330303786,9.678864923069476,44.12943904734058,14.74273179433113,7.90748421359989e-12,6.938218423584759e-10,4.036075912892809e-10,4.521794615078777e-10,0.19540000657355178,1.6922434816139333
N20000813,247.0,29.027425228882592,61.1131905347584,2.0619157077173287,0.552806440404448,1.0896137484288568,1.2954837571907832e-10,6.7565544724567735e-12,4.422149794222787e-10,3.486210429812868e-10,0.041124262303170823,6.113924076578074
N20000814,338.0,8.692279492156343,76.4627713035713,2.388561922933152,3.45464176846862,5.9620817627524545,2.12522377950446e-11,5.566631378976941e-11,3.25728580684739e-10,2.9396562067392255e-10,0.027281410482669816,3.0123823389388487
N20000815,371.0,3.3394912425099452,32.46100195610019,8.250214845459777,15.706835317700557,12.68879782097592,6.259145846338539e-12,5.618942645108722e-10,1.5932235321886498e-09,7.251296890231504e-10,26.797412609631436,0.7562462047356527
N20000816,613.0,6.8307112936632315,24.350730800585747,7.171997637847936,31.586130157656612,25.4729842466835,1.0211421377838388e-11,2.2385009884291777e-10,7.600021307022243e-10,4.90281172913468e-10,3.4403802852811123,1.1470655767975098
N20000817,749.0,7.759476781322348,21.17013380944934,2.066758991140203,63.45262319281467,2.3387656425640078,3.6704861701332395e-13,3.4550765057284367e-10,2.9170683431135165e-10,1.5164168254866376e-10,0.013444223451103724,3.1987973584691023
N20000818,442.0,2.0891288759862094,73.79903036129882,2.769857071355806,18.01079874459809,1.7970634446108702,1.397701604500629e-12,4.824481756331837e-12,3.84020598214614e-11,6.257797349513314e-11,0.0016543316023640777,1.5324671704406285
N20000819,356.0,23.774838479467764,3.208971679330894,19.272168115116823,1.2321372858656687,18.446173480374263,7.935771145776448e-11,3.7670952312710483e-10,7.596092349087854e-10,6.850833574627123e-10,0.13109152541789235,33.93461943252595
N20000820,442.0,29.95425909461619,5.203953483791736,5.431403759878717,1.0557623461577035,31.48683682145371,2.778159338747352e-10,5.6826585972376025e-11,7.261630661298381e-10,6.175128457900158e-10,0.09089122311098884,26.77689326931263
N20000821,318.0,8.87627125038762,3.5336057112987387,24.354185283257575,0.5672775855975468,8.583332717165545,1.8339741714280152e-10,2.4150583376686415e-10,3.9832147725204976e-10,3.075852559919569e-10,0.4272886972926636,53.658038753869505
N20000822,244.0,2.9816986192703836,21.31811711710907,3.495047602874752,45.964806596557644,8.420243442971977,9.134507450156038e-12,2.407535685311985e-10,1.3304956986591563e-09,4.996424847816303e-10,17.27390110272339,0.5461855164127547
N20000823,501.0,33.45922278902734,13.594924536541145,30.663274297806186,0.7861201041055967,19.269028137354844,1.9511090124949024e-10,1.4663421895957263e-10,5.457720212946526e-10,5.379837781248441e-10,0.18165448816011706,2.045775645579272
N20000824,636.0,1.0218949858365693,74.34269503185294,1.3608037558257433,20.08942749602426,1.4670265942042273,3.0890288153865767e-12,1.541688219735323e-11,4.4435269410396536e-11,5.805708085284915e-11,0.000743984961095417,1.7174081511741763
N20000825,320.0,15.460693007184714,4.083065335285618,0.6811785331554715,61.31686149963015,2.6074132517133695,1.4579062005757373e-10,8.695995746792576e-11,1.1286463892875e-09,2.2455176852706822e-10,0.016721518572073407,15.834066852872677
