code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95EE02W1,Benvardin,Ballymoney,23.7,311,4,0.25,277,0.17,332,-0.16,490,24.28,307,0.91,146,9.55,600,29.31,241,0.29,284
95EE03W1,Carnany,Ballymoney,21.55,355,4,0.24,305,0.18,279,-0.07,454,24.54,303,0.01,398,7.03,680,20.77,392,0.27,319
95EE04W1,Clogh Mills,Ballymoney,16.88,472,6,0.15,537,0.11,622,-0.4,599,23.12,323,1.28,61,3.11,790,25.77,296,0.14,566
95EE05W1,Dervock,Ballymoney,14.88,519,6,0.14,561,0.14,492,-0.19,501,19.65,385,0.52,243,5.69,723,21.07,383,0.14,563
95EE06W1,Dunloy,Ballymoney,17.74,450,6,0.15,519,0.12,585,-0.43,609,23.41,320,1.35,43,1.27,858,21.93,364,0.14,576
95EE07W1,Fairhill,Ballymoney,15.76,498,6,0.17,475,0.14,494,-0.64,706,33.91,188,0.04,386,3.07,792,19.44,428,0.2,449
95EE08W1,Glebe,Ballymoney,7.67,749,9,0.12,626,0.12,571,-0.88,789,7.78,663,-0.38,582,7.7,660,12.91,612,0.11,642
95EE09W1,Killoquin Lower,Ballymoney,18.72,416,5,0.18,443,0.14,438,-0.36,577,22.74,327,1.03,108,0.83,869,24.84,308,0.19,476
95EE10W1,Killoquin Upper,Ballymoney,19.74,393,5,0.2,392,0.13,550,-0.72,742,31.15,211,1.11,89,2.81,806,32.64,189,0.19,480
95EE11W1,Knockaholet,Ballymoney,19.72,395,5,0.14,549,0.13,514,-0.28,545,21.01,360,1.31,53,2.49,816,45.51,60,0.14,565
95EE12W1,Newhill,Ballymoney,27.06,254,3,0.29,208,0.19,255,-0.29,548,44.61,117,-0.27,536,5.77,720,38.08,135,0.32,244
95EE13W1,Route,Ballymoney,21.73,351,4,0.24,310,0.19,223,0.05,390,14.13,482,-0.31,551,19.53,381,23.46,339,0.22,410
