SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00000718,BANBRIDGE,31.2,29885
N00000770,BANBRIDGE,31.2,29885
N00000769,BANBRIDGE,31.2,29885
N00000730,BANBRIDGE,31.2,29885
N00000767,BANBRIDGE,31.2,29885
N00000729,BANBRIDGE,31.2,29885
N00000734,BANBRIDGE,31.2,29885
N00000771,BANBRIDGE,31.2,29885
N00000768,BANBRIDGE,31.2,29885
N00000737,BANBRIDGE,31.2,29885
N00000736,BANBRIDGE,31.2,29885
N00000738,BANBRIDGE,31.2,29885
N00000804,BANBRIDGE,31.2,29885
N00000735,BANBRIDGE,31.2,29885
N00000720,BANBRIDGE,31.2,29885
N00000716,BANBRIDGE,31.2,29885
N00000719,BANBRIDGE,31.2,29885
N00000715,BANBRIDGE,31.2,29885
N00000823,BANBRIDGE,31.2,29885
N00000821,BANBRIDGE,31.2,29885
N00000824,BANBRIDGE,31.2,29885
N00000717,BANBRIDGE,31.2,29885
N00000820,BANBRIDGE,31.2,29885
N00000819,BANBRIDGE,31.2,29885
N00000766,BANBRIDGE,31.2,29885
N00000727,BANBRIDGE,31.2,29885
N00000733,BANBRIDGE,31.2,29885
N00000732,BANBRIDGE,31.2,29885
N00000731,BANBRIDGE,31.2,29885
N00000758,BANBRIDGE,31.2,29885
N00000759,BANBRIDGE,31.2,29885
N00000763,BANBRIDGE,31.2,29885
N00000761,BANBRIDGE,31.2,29885
N00000765,BANBRIDGE,31.2,29885
N00000762,BANBRIDGE,31.2,29885
N00000822,BANBRIDGE,31.2,29885
N00000817,BANBRIDGE,31.2,29885
N00000816,BANBRIDGE,31.2,29885
N00000760,BANBRIDGE,31.2,29885
N00000814,BANBRIDGE,31.2,29885
N00000818,BANBRIDGE,31.2,29885
N00000815,BANBRIDGE,31.2,29885
N00000813,BANBRIDGE,31.2,29885
N00000805,BANBRIDGE,31.2,29885
N00000792,BANBRIDGE,31.2,29885
N00002261,CRAIGAVON,38.7,71202
N00002258,CRAIGAVON,38.7,71202
N00002259,CRAIGAVON,38.7,71202
N00002257,CRAIGAVON,38.7,71202
N00002260,CRAIGAVON,38.7,71202
N00000801,BANBRIDGE,31.2,29885
N00000803,BANBRIDGE,31.2,29885
N00000802,BANBRIDGE,31.2,29885
N00000756,BANBRIDGE,31.2,29885
N00000754,BANBRIDGE,31.2,29885
N00000755,BANBRIDGE,31.2,29885
N00000749,BANBRIDGE,31.2,29885
N00000757,BANBRIDGE,31.2,29885
N00000751,BANBRIDGE,31.2,29885
N00000748,BANBRIDGE,31.2,29885
N00000752,BANBRIDGE,31.2,29885
N00000750,BANBRIDGE,31.2,29885
N00000746,BANBRIDGE,31.2,29885
N00000747,BANBRIDGE,31.2,29885
N00000742,BANBRIDGE,31.2,29885
N00000743,BANBRIDGE,31.2,29885
N00000744,BANBRIDGE,31.2,29885
N00000745,BANBRIDGE,31.2,29885
N00000741,BANBRIDGE,31.2,29885
N00000800,BANBRIDGE,31.2,29885
N00003448,LISBURN,16.6,82091
N00003449,LISBURN,16.6,82091
N00003393,LISBURN,16.6,82091
N00003463,LISBURN,16.6,82091
N00003469,LISBURN,16.6,82091
N00003444,LISBURN,16.6,82091
N00003452,LISBURN,16.6,82091
N00003451,LISBURN,16.6,82091
N00003443,LISBURN,16.6,82091
N00003447,LISBURN,16.6,82091
N00003446,LISBURN,16.6,82091
N00003450,LISBURN,16.6,82091
N00003481,LISBURN,16.6,82091
N00003482,LISBURN,16.6,82091
N00003478,LISBURN,16.6,82091
N00003479,LISBURN,16.6,82091
N00003474,LISBURN,16.6,82091
N00003477,LISBURN,16.6,82091
N00003480,LISBURN,16.6,82091
N00003476,LISBURN,16.6,82091
N00002172,CRAIGAVON,38.7,71202
N00002173,CRAIGAVON,38.7,71202
N00002332,CRAIGAVON,38.7,71202
N00002333,CRAIGAVON,38.7,71202
N00002330,CRAIGAVON,38.7,71202
N00002326,CRAIGAVON,38.7,71202
N00002334,CRAIGAVON,38.7,71202
N00002335,CRAIGAVON,38.7,71202
N00003475,LISBURN,16.6,82091
N00002262,CRAIGAVON,38.7,71202
N00002263,CRAIGAVON,38.7,71202
N00002377,CRAIGAVON,38.7,71202
N00002381,CRAIGAVON,38.7,71202
N00002378,CRAIGAVON,38.7,71202
N00002384,CRAIGAVON,38.7,71202
N00002385,CRAIGAVON,38.7,71202
N00002383,CRAIGAVON,38.7,71202
N00002382,CRAIGAVON,38.7,71202
N00002379,CRAIGAVON,38.7,71202
N00002376,CRAIGAVON,38.7,71202
