SA2011,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
N00003515,0.53,0.28,47.1,91.91396136227843,0.56,0.22999999999999998,44.8,90.79864568810993,96.73721340388008,96.89153439153439,92.41622574955908
N00003516,0.72,0.27,57.18000000000001,96.25572595100577,0.74,0.32,61.77000000000001,97.74945230033858,96.75925925925925,96.40652557319224,90.27777777777779
N00003517,0.5613656370493383,0.3556828185246691,58.77024941881751,96.67630892274909,0.6038619691255515,0.32863436295066173,57.389765252877645,96.48378432266949,91.13756613756614,72.37654320987654,97.15608465608466
N00003518,0.47,0.22000000000000003,36.85,84.34574785899223,0.64,0.29,59.45,97.132045409281,94.46649029982363,84.96472663139329,93.84920634920636
N00003519,0.45,0.32,48.1,92.4317864967138,0.64,0.27,55.77,96.13622784305915,95.59082892416227,96.20811287477954,93.43033509700176
N00003520,0.58,0.3,54.16,95.23999203345947,0.72,0.29,60.91,97.57020513841864,94.22398589065256,90.16754850088184,92.5705467372134
N00003521,0.009503631131058841,0.025205809809694144,2.128898259755813,1.5879792947608806,0.009503631131058841,0.013305083583482378,2.4090677582549183,1.0989677827522577,3.703703703703709,3.461199294532624,0.02204585537919357
N00003522,0.06,0.12,6.650000000000001,15.036845249950204,0.08,0.08,5.12,8.404700258912568,5.511463844797182,4.387125220458554,25.220458553791893
N00003523,0.09,0.05999999999999999,3.75,4.660426209918345,0.07,0.05999999999999999,4.98,7.727544313881696,4.343033509700178,9.303350970017632,4.71781305114638
N00003524,0.023431372418819176,0.08340196124284945,4.114921614556042,6.422886797520569,0.033490194770758645,0.05677450856134906,3.3776567838375358,3.1908530784337543,11.419753086419748,27.13844797178131,18.07760141093474
N00003525,0.049999999999999996,0.15,9.61,25.811591316470828,0.049999999999999996,0.09999999999999999,5.75,10.7149970125473,4.012345679012341,5.798059964726631,17.151675485008823
N00003526,0.04,0.06,3.2600000000000002,3.2264489145588544,0.049999999999999996,0.04,3.4800000000000004,2.848038239394546,6.5255731922398645,4.960317460317465,5.93033509700176
N00003527,0.21,0.14,20.89,56.82135032861979,0.19,0.11,14.43,40.808603863772156,28.835978835978835,21.693121693121697,22.839506172839506
N00003528,0.09191040845449136,0.11,12.544901187398658,34.353082014075085,0.15176548088314779,0.09544137022078694,11.443135704092802,30.342443158766148,20.194003527336857,21.00970017636684,12.588183421516753
N00003529,0.21999966142084407,0.14999966142084406,22.3199515831807,60.286678126323174,0.21999898426253217,0.11999966142084405,15.849951921759857,45.74769175934939,46.25220458553792,58.88447971781305,37.125220458553784
N00003530,0.16000073118817235,0.14000012416402927,18.06004904479156,49.59177744450789,0.1700005518401301,0.09000009657202276,10.65003389677999,27.484640498293075,50.79365079365079,72.13403880070547,29.166666666666664
N00003531,0.12,0.12,14.1,38.856801433977296,0.16,0.12,12.099999999999998,32.88189603664608,19.400352733686066,25.308641975308642,27.976190476190478
N00003532,0.15,0.14,20.02,54.47122087233619,0.19,0.12,16.08,46.4250149372635,28.064373897707227,51.014109347442684,24.20634920634921
N00003533,0.2,0.11000000000000001,17.79,48.854809798844855,0.19,0.1,14.02,39.354710217088225,56.0626102292769,83.53174603174604,38.18342151675485
N00003534,0.26,0.11,19.08,52.41983668591914,0.32,0.11,18.16,52.71858195578569,70.54673721340387,81.79012345679013,64.68253968253967
N00003535,0.13,0.16,20.98,57.1400119498108,0.17,0.11,14.52,41.20693089026091,27.402998236331566,29.034391534391535,28.417107583774246
N00003536,0.15,0.11,18.97,52.04142601075483,0.16,0.12,14.63,41.64509061939853,46.20811287477954,48.67724867724868,35.383597883597886
N00003537,0.4699999999999999,0.15,34.06,81.15913164708226,0.45,0.17,27.34,71.45986855208126,54.14462081128748,36.1331569664903,66.62257495590829
N00003538,0.1,0.12,11.41,31.50766779525991,0.17,0.1,12.11,32.90181238797052,29.71781305114638,23.2363315696649,30.268959435626098
N00003539,0.05,0.08,6.74,15.355506871141209,0.15,0.07,9.77,24.238199561840272,20.039682539682534,28.306878306878303,17.65873015873016
N00003540,0.15,0.12,13.29,37.004580760804615,0.25,0.09,14.77,42.023501294562834,35.84656084656085,22.971781305114636,48.6331569664903
N00003541,0.16,0.15,16.24,44.931288587930695,0.33,0.16,21.83,60.924118701453885,50.22045855379189,31.19488536155203,62.257495590828924
N00003542,0.38,0.17,28.76,73.35192192790281,0.52,0.19,33.97,80.88030272854013,92.79100529100529,90.67460317460318,88.4700176366843
N00003543,0.15,0.13,14.12,38.93646683927504,0.15,0.09,10.48,26.96673969328819,24.977954144620806,37.632275132275126,31.878306878306883
N00003544,0.15,0.14,16.22,44.8317068313085,0.2,0.16,17.63,51.08544114718183,59.17107583774251,63.58024691358024,70.83333333333333
N00003545,0.15,0.16,19.05,52.380003983270264,0.18,0.15,16.57,47.85899223262299,31.4373897707231,38.64638447971781,40.67460317460318
N00003546,0.16,0.16,18.07,49.63154750049791,0.13,0.08,9.33,22.684724158534152,29.739858906525573,49.382716049382715,37.10317460317461
N00003547,0.15,0.14,16.63,46.08643696474807,0.12,0.11,13.84,38.856801433977296,57.054673721340386,81.4814814814815,44.841269841269835
N00003548,0.2528444991995202,0.15396965825301073,19.213887367046812,51.88222080950982,0.2530278077316981,0.11584070690211883,17.21437394578119,46.25094136484601,53.72574955908289,63.29365079365079,55.51146384479717
N00003549,0.14,0.16,25.33,67.03843855805616,0.18,0.11,19.8,56.04461262696674,69.70899470899471,72.90564373897708,55.77601410934745
N00003550,0.11,0.1,7.04,16.35132443736308,0.1,0.05,5.04,7.98645688109938,10.978835978835978,29.541446208112877,9.656084656084651
N00003551,0.08,0.09,5.25,10.13742282413862,0.10000000000000002,0.07,5.27,9.04202350129456,10.956790123456795,14.35185185185185,23.78747795414462
N00003552,0.18,0.19,17.34,47.69966142202748,0.14,0.12,11.17,29.535949014140606,59.832451499118164,71.05379188712521,56.90035273368606
N00003553,0.08,0.08,4.42,6.970722963553078,0.16,0.05,6.04,11.790479984066913,29.188712522045858,67.5705467372134,27.13844797178131
N00003554,0.48,0.25,39.51,86.53654650468035,0.43,0.26,33.87,80.82055367456682,76.47707231040565,68.9373897707231,79.03439153439153
N00003555,0.26,0.16,17.65,48.476399123680544,0.36,0.1,21.91,61.12328221469828,58.06878306878307,30.335097001763668,63.99911816578483
N00003556,0.33531165842374855,0.1946205958268751,25.873577479146185,67.52342109818125,0.3607588083462498,0.15310297913437554,24.89378043662814,67.32768434091071,69.24603174603175,67.04144620811287,75.02204585537919
N00003557,0.31,0.18,26.61,69.96614220274846,0.46,0.16,29.410000000000004,74.60665206134236,80.42328042328042,19.466490299823636,84.14902998236332
N00003558,0.15,0.15,18.94,51.88209520015933,0.14,0.1,11.12,29.356701852220667,34.413580246913575,48.522927689594354,23.50088183421517
N00003559,0.25,0.17,24.810000000000002,65.76379207329217,0.24,0.09999999999999999,14.96,42.66082453694483,45.45855379188713,68.01146384479718,39.92504409171076
N00003560,0.17,0.11,18.96,52.00159330810595,0.17,0.08,11.91,32.34415455088627,24.316578483245156,32.936507936507944,14.836860670194007
N00003561,0.15,0.11999999999999998,20.49,55.945030870344546,0.16,0.05999999999999999,11.18,29.555865365465053,33.84038800705468,36.17724867724868,16.115520282186946
N00003562,0.07999999999999999,0.15,12.43,34.734116709818764,0.15,0.14,13.22,37.044413463453495,44.37830687830689,41.24779541446208,63.536155202821874
N00003563,0.16,0.13,17.74,48.73531169089823,0.13,0.13,16.11,46.52459669388568,56.76807760141094,51.036155202821874,58.57583774250441
N00003564,0.16,0.09,10.33,28.14180442143,0.15,0.08,9.06,21.768571997610042,20.392416225749553,7.385361552028213,14.50617283950617
N00003565,0.07,0.12,10.27,27.942640908185624,0.14,0.13,13.01,36.247759410476,18.452380952380953,36.39770723104056,13.955026455026454
N00003566,0.12,0.12,15.41,42.50149372634934,0.12,0.09,10.42,26.727743477394938,40.542328042328045,59.78835978835979,36.596119929453266
N00003567,0.12,0.17000000000000004,20.27,55.28779127663812,0.15,0.13,15.73,45.24995020912169,20.08377425044092,14.616402116402117,19.246031746031743
N00003568,0.11,0.09,9.89,26.727743477394938,0.11,0.09,11.12,29.376618203545114,25.044091710758376,6.768077601410938,10.824514991181655
N00003569,0.12,0.11,15.2,41.864170483967335,0.1,0.07,11.829999999999998,32.105158334993035,25.308641975308642,3.2186948853615505,6.503527336860671
N00003570,0.17,0.14,19.35,53.17665803624775,0.16,0.1,14.84,42.28241386178052,37.257495590828924,37.985008818342145,27.270723104056437
N00003571,0.21,0.15,19.85,54.132642899820766,0.34,0.17,23.65,65.00697072296356,42.74691358024691,54.65167548500882,33.77425044091711
N00003572,0.1,0.12,12.39,34.554869547898825,0.17,0.1,14.31,40.39036048595898,43.05555555555556,50.35273368606702,37.38977072310406
N00003573,0.12,0.12,13.33,37.06432981477793,0.17,0.11,13.74,38.59788886675961,53.946208112874785,84.12698412698413,30.864197530864203
N00003574,0.1,0.1,11.689999999999998,32.32423819956184,0.12,0.07,9.54,23.322047400916155,66.18165784832452,91.13756613756614,30.335097001763668
N00003575,0.20999999999999996,0.15,26.09,68.89065923122884,0.20999999999999996,0.13,23.71,65.20613423620793,45.304232804232804,42.43827160493827,35.22927689594356
N00003576,0.12,0.12,16.18,44.63254331806413,0.18,0.08,14.25,40.11153156741685,36.61816578483245,45.370370370370374,23.963844797178137
N00003577,0.22,0.17,23.229999999999997,62.238597888866764,0.27,0.13,21.96,61.26269667396933,48.83156966490299,35.802469135802475,62.830687830687836
N00003578,0.16,0.12,15.95,43.975303724357694,0.11,0.08,8.77,20.653256323441546,29.2989417989418,39.96913580246913,26.036155202821863
N00003579,0.21,0.17,25.3,66.99860585540729,0.2,0.11,14.73,41.92391953794065,41.82098765432099,59.06084656084656,17.438271604938272
N00003580,0.06,0.06,7.62,18.681537542322246,0.1,0.06,5.77,10.814578769169492,11.243386243386244,14.175485008818345,14.616402116402117
N00003581,0.35,0.14,25.6,67.71559450308703,0.35,0.14,23.75,65.28579964150568,69.77513227513228,86.11111111111111,54.761904761904766
N00003582,0.24,0.14,19.28,52.99741087432782,0.26,0.1,16.23,46.94284007169887,47.883597883597886,65.4320987654321,48.522927689594354
