OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95EE110001,N20001715,N20001716
95EE110002,N20001649,N20001649
95EE110003,N20001715,N20001715
95EE110004,N20001716,N20001716
95EE120001,N20001690,N20001690
95EE120002,N20001693,N20001693
95EE120003,N20001693,N20001693
95EE120004,N20001695,N20001695
95EE120005,N20001687,N20001687
95EE120006,N20001688,N20001688
95EE130001,N20001703,N20001698
95EE130002,N20001708,N20001699
95EE130003,N20001708,N20001691
95EE130004,N20001700,N20001700
95EE130005,N20001703,N20001703
95EE140001,N20001705,N20001707
95EE140002,N20001708,N20001708
95EE140003,N20001685,N20001685
95EE140004,N20001705,N20001705
95EE140005,N20001705,N20001707
95EE140006,N20001714,N20001710
95EE150001,N20001674,N20001674
95EE150002,N20001674,N20001672
95EE150003,N20001674,N20001674
95EE150004,N20001672,N20001672
95EE160001,N20001714,N20001714
95EE160002,N20001705,N20001713
95EE160003,N20001726,N20001726
95EE160004,N20001726,N20001720
95EE160005,N20001726,N20001727
95FF010001,N20000613,N20000617
95FF010002,N20000628,N20000628
95FF010003,N20000623,N20000623
95FF010004,N20000626,N20000628
95FF010005,N20000641,N20000641
95FF010006,N20000633,N20000633
95FF010007,N20000648,N20000635
95FF010008,N20000648,N20000643
95FF010009,N20000614,N20000609
95FF010010,N20000614,N20000609
95FF020001,N20003331,N20003331
95FF020002,N20000655,N20000655
95FF020003,N20003336,N20003336
95FF020004,N20003322,N20003322
95FF020005,N20003323,N20003331
95FF020006,N20003327,N20003327
95FF030001,N20000632,N20000632
95FF030002,N20000642,N20000625
95FF030003,N20000636,N20000639
95FF030004,N20000642,N20000639
95FF030005,N20000622,N20000622
95FF030006,N20000625,N20000625
95FF030007,N20000627,N20000627
95FF030008,N20000632,N20000632
95FF040001,N20000614,N20000614
95FF040002,N20000645,N20000645
95FF040003,N20000648,N20000645
95FF040004,N20000645,N20000645
95FF040005,N20000653,N20000653
95FF040006,N20000653,N20000653
95FF050001,N20000563,N20000563
95FF050002,N20000565,N20000565
95FF050003,N20000566,N20000566
95FF050004,N20000573,N20000566
95FF050005,N20000565,N20000565
95FF050006,N20000573,N20000570
95FF050007,N20000570,N20000570
95FF050008,N20000571,N20000571
95FF060001,N20000563,N20000582
95FF060002,N20000583,N20000577
95FF060003,N20000578,N20000578
95FF060004,N20000575,N20000575
95FF060005,N20000574,N20000574
95FF060006,N20000573,N20000573
95FF060007,N20000583,N20000573
95FF060008,N20000576,N20000576
95FF060009,N20000583,N20000583
95FF060010,N20000576,N20000576
95FF070001,N20000619,N20000619
95FF070002,N20000621,N20000621
95FF070003,N20000611,N20000611
95FF070004,N20000616,N20000611
95FF070005,N20000624,N20000624
95FF070006,N20000607,N20000615
95FF070007,N20000605,N20000621
95FF070008,N20000616,N20000615
95FF080001,N20000637,N20000637
95FF080002,N20000630,N20000630
