W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
craigavon--knocknashane,KNOCKNASHANE,CRAIGAVON,Knocknashane,2770,1340,1430,2781,1345,1436,0.4
craigavon--magheralin,MAGHERALIN,CRAIGAVON,Magheralin,2546,1268,1278,2605,1277,1328,2.3
craigavon--mourneview,MOURNEVIEW,CRAIGAVON,Mourneview,3408,1708,1700,3226,1586,1640,-5.3
craigavon--parklake,PARKLAKE,CRAIGAVON,Parklake,2418,1142,1276,2175,1042,1133,-10.0
craigavon--taghnevan,TAGHNEVAN,CRAIGAVON,Taghnevan,3549,1653,1896,3318,1608,1710,-6.5
craigavon--tavanagh,TAVANAGH,CRAIGAVON,Tavanagh,2324,1096,1228,1878,886,992,-19.2
craigavon--the-birches,THE BIRCHES,CRAIGAVON,The Birches,2495,1225,1270,2279,1111,1168,-8.7
craigavon--waringstown,WARINGSTOWN,CRAIGAVON,Waringstown,2483,1218,1265,2968,1452,1516,19.5
craigavon--woodside,WOODSIDE,CRAIGAVON,Woodside,3071,1514,1557,3747,1815,1932,22.0
craigavon--woodville,WOODVILLE,CRAIGAVON,Woodville,2510,1198,1312,2457,1182,1275,-2.1
down--ardglass,ARDGLASS,DOWN,Ardglass,2433,1283,1150,2880,1547,1333,18.4
down--audleys-acre,AUDLEYS ACRE,DOWN,Audleys Acre,3628,1773,1855,3660,1725,1935,0.9
down--ballymaglave,BALLYMAGLAVE,DOWN,Ballymaglave,2472,1166,1306,2893,1409,1484,17.0
down--castlewellan,CASTLEWELLAN,DOWN,Castlewellan,2057,1052,1005,2321,1172,1149,12.8
